name,class,level,power,price,date
Ragnarokk89,lionheart,115,190671,70,2026-02-03
FW Kiff,taoist,147,351534,690,2026-02-03
Spontaneousシ,lancer,137,250559,700,2026-02-03
Pôsêidon,lancer,156,430495,2300,2026-02-03
77 KillDim,taoist,152,400535,1275,2026-02-03
L00kBag,arbalist,113,215610,120,2026-02-03
彡Đ么ISOU彡,darkist,148,378990,720,2026-02-03
真太郎,arbalist,159,457047,4150,2026-02-03
SRB Viagra,taoist,146,342381,500,2026-02-03
大大大热狗,taoist,141,341957,460,2026-02-03
13thGhost,taoist,133,279518,260,2026-02-03
NightDay夜,taoist,154,401568,1250,2026-02-03
SnowyPath,arbalist,155,413653,2300,2026-02-03
AllAcceTrad,lionheart,135,331011,700,2026-02-03
Bl4ck Bingo,warrior,152,427148,2900,2026-02-03
Ironwall EvC,warrior,156,444699,4444,2026-02-03
쾅 Yunha,arbalist,143,327094,320,2026-02-03
逍遥丶丹丹,arbalist,155,456320,3800,2026-02-03
Sinister Joe,lancer,143,374489,1300,2026-02-03
LEGACY 亗,lionheart,142,336203,1100,2026-02-03
PSY・Kosy,sorcerer,152,415544,2799,2026-02-03
Malena 亗,taoist,142,322980,300,2026-02-03
imortale2,warrior,105,180461,109,2026-02-03
Gojìra,lancer,105,191007,109,2026-02-03
Ginkobiloba焱,arbalist,155,452026,3490,2026-02-03
SG丶Crutskìé,taoist,145,359565,675,2026-02-03
H・HandSomeツ,warrior,148,380263,850,2026-02-03
Z0lata,arbalist,158,441456,2600,2026-02-03
イザナギ刃,warrior,138,329822,355,2026-02-03
҉ Frénzy ҉,sorcerer,162,504501,6760,2026-02-03
・G O K U・,warrior,144,362900,850,2026-02-03
Boлk,warrior,142,343001,543,2026-02-03
逍遥丶慕容小兔,taoist,157,460802,3450,2026-02-03
丶khian乄,arbalist,140,297831,230,2026-02-03
T2LegTradEWp,sorcerer,155,419006,2750,2026-02-03
AIKє1,taoist,98,156034,71,2026-02-03
B3TTaa,taoist,107,168560,81,2026-02-03
November2421,taoist,142,329339,369,2026-02-03
丶村长,arbalist,155,398515,1800,2026-02-03
T1T2LegTrade,warrior,152,417421,3050,2026-02-03
PSY・Kosy,sorcerer,152,415544,2799,2026-02-03
Malena 亗,taoist,142,322980,300,2026-02-03
imortale2,warrior,105,180461,109,2026-02-03
Gojìra,lancer,105,191007,109,2026-02-03
Ginkobiloba焱,arbalist,155,452026,3490,2026-02-03
SG丶Crutskìé,taoist,145,359565,675,2026-02-03
H・HandSomeツ,warrior,148,380263,850,2026-02-03
Z0lata,arbalist,158,441456,2600,2026-02-03
イザナギ刃,warrior,138,329822,355,2026-02-03
҉ Frénzy ҉,sorcerer,162,504501,6760,2026-02-03
・G O K U・,warrior,144,362900,850,2026-02-03
Boлk,warrior,142,343001,543,2026-02-03
逍遥丶慕容小兔,taoist,157,460802,3450,2026-02-03
丶khian乄,arbalist,140,297831,230,2026-02-03
T2LegTradEWp,sorcerer,155,419006,2750,2026-02-03
AIKє1,taoist,98,156034,71,2026-02-03
B3TTaa,taoist,107,168560,81,2026-02-03
November2421,taoist,142,329339,369,2026-02-03
